"city, state_name",utm easting,utm northing,zone number,zone letter,population,density
"Jesup, Georgia",415617.0080893278,3496354.6647535716,17,R,12198.0,229
"Ishpeming, Michigan",448899.04296280566,5148285.278550764,16,T,12198.0,283
"Speedway, Indiana",564392.1488688253,4405130.84493769,16,S,12193,990
"Enumclaw, Washington",576518.8079179932,5228073.731347461,10,T,12190,910
"Lakeside, Virginia",281389.15011844947,4165796.144850204,18,S,12180,1087
"Neosho, Missouri",377351.7505833064,4078461.0606541703,15,S,12176.0,295
"Lincoln City, Oregon",420574.96298564674,4980677.826627142,10,T,12172.0,584
"Northlake, Illinois",424916.0567755215,4640657.440214511,16,T,12161,1480
"Warwick, New York",554027.5749636136,4567276.714663661,18,T,12159.0,1082
"Eatontown, New Jersey",580253.7068752,4460517.129961513,18,T,12157,803
"Newport, Oregon",416601.5681955924,4941742.6579843,10,T,12155.0,419
"Freeport, Texas",269970.89354844944,3204230.1545978617,15,R,12136,304
"Webb City, Missouri",369656.8539036898,4111555.4673806056,15,S,12134,542
"Coolidge, Arizona",450820.1310304009,3644702.716402697,12,S,12124.0,69
"Westwood Lakes, Florida",563025.951930009,2845235.9353659865,17,R,12121,2822
"Melissa, Texas",727467.3740230219,3685999.663224271,14,S,12117,408
"James Island, South Carolina",599355.255182128,3622440.11099948,17,S,12109,986
"Kingsburg, California",270770.42824808916,4045175.0047645657,11,S,12108,1261
"Platteville, Wisconsin",707325.354982923,4733720.247035999,15,T,12100.0,738
"Lovington, New Mexico",656382.4810903423,3642827.007123438,13,S,12097.0,390
"Middle Valley, Tennessee",664268.5930090046,3895349.2935679266,16,S,12097,478
"Eureka, Missouri",704993.577276541,4264078.678347942,15,S,12097.0,402
"Minnehaha, Washington",529574.025426687,5056086.8239172455,10,T,12092,2112
"Emeryville, California",562191.6394055473,4188098.539754779,10,S,12086,3675
"Little Chute, Wisconsin",394639.7896977655,4904986.817771841,16,T,12081,728
"Sedro-Woolley, Washington",556713.4908264517,5373405.216983342,10,U,12072,1081
"Minden, Louisiana",474088.0954342309,3609050.946383945,15,S,12071.0,304
"Somerville, New Jersey",533079.7844321257,4491053.739241823,18,T,12063,1992
"Ottawa, Kansas",302828.3582561743,4274820.952032583,15,S,12060.0,479
"La Homa, Texas",564109.0754597672,2906552.690908161,14,R,12054,690
"Gatesville, Texas",620199.0713598782,3479269.406858882,14,R,12053.0,552
"South Charleston, West Virginia",437872.0407856481,4244688.856426825,17,S,12047,589
"Haverstraw, New York",587880.9290476461,4560756.020284418,18,T,12045,2345
"Vail, Arizona",528924.9167813123,3542881.974714261,12,S,12044,205
"Leeds, Alabama",540515.3250422598,3711560.7764256583,16,S,12040,206
"East Bethel, Minnesota",484037.1375851284,5022485.596547715,15,T,12038,104
"Villas, Florida",413549.33796851884,2936932.1747428216,17,R,12036,1003
"Festus, Missouri",726778.6216876898,4233309.096789354,15,S,12036,802
"Moss Bluff, Louisiana",480279.1087537566,3352478.5246692863,15,R,12034,305
"Jupiter Farms, Florida",577571.3929047466,2978079.859115168,17,R,12032,311
"Riverview, Michigan",318827.4158435886,4671291.200362392,17,T,12032,1056
"Smithfield, Utah",431365.8025938168,4631753.649045599,12,T,12025,891
"Damascus, Oregon",543520.9010077018,5030125.913283119,10,T,12024,262
"Fulton, Missouri",591012.1441549561,4301219.735389614,15,S,12012.0,394
"Spring Lake, North Carolina",682479.2816258577,3895309.8000948634,17,S,12005,196
"Folkston, Georgia",403673.7824105914,3412226.653711958,17,R,12001.0,463
"Macedonia, Ohio",458241.8801813271,4573812.7318289075,17,T,12000,476
"Jerome, Idaho",703402.5805741532,4732525.510807203,11,T,11996.0,830
"Hasbrouck Heights, New Jersey",578032.5255029567,4523828.253067576,18,T,11992,3039
"Babylon, New York",641351.7150486412,4506234.763100228,18,T,11992,1908
"Diamond Springs, California",687934.4673223689,4284814.430638852,10,S,11989,278
"Moncks Corner, South Carolina",591986.6302007714,3669801.6755302995,17,S,11986,537
"Carnot-Moon, Pennsylvania",566260.7405390627,4485624.296317383,17,T,11982,773
"Newton, New Jersey",520781.5226103251,4544714.451117735,18,T,11974.0,921
"Garden City, Idaho",558520.8377951048,4833544.897693605,11,T,11969,1132
"Somersworth, New Hampshire",346939.21150351164,4790681.201266394,19,T,11968,471
"Red Bank, New Jersey",579218.3106079242,4466811.596564131,18,T,11966,2646
"Norton, Ohio",445685.9914697453,4542221.782596478,17,T,11966,228
"Ellwood City, Pennsylvania",560426.7136896278,4523674.20419259,17,T,11962.0,1210
"Glenwood Springs, Colorado",299393.70812561037,4379917.094812088,13,S,11962.0,656
"Oak Hills, Oregon",512389.8747481476,5042985.980455072,10,T,11962,2952
"Greensburg, Indiana",629038.6530634444,4356853.542296227,16,S,11960.0,495
"Macclenny, Florida",391780.66512508184,3350458.9606137085,17,R,11958.0,551
"East Grand Rapids, Michigan",613493.7538419957,4755801.494960878,16,T,11956,1576
"Newberry, South Carolina",444682.1311331364,3793499.0095339795,17,S,11954.0,440
"Mastic Beach, New York",682512.5123656569,4515241.94848328,18,T,11953,977
"Lansing, Kansas",336283.6570660797,4345435.876081584,15,S,11949,374
"Norwalk, Iowa",442292.6942848822,4593329.160191339,15,T,11938,398
"Fairfax Station, Virginia",297142.16588376614,4296530.617386506,18,S,11934,507
"Robinson, Texas",678632.8841780603,3481015.415868743,14,R,11926,147
"Portales, New Mexico",651468.9069117947,3782813.669191621,13,S,11921.0,564
"Valencia West, Arizona",489408.291066694,3555460.527932272,12,S,11919,464
"Port Washington, Wisconsin",428300.4019154649,4803916.981825873,16,T,11911,789
"South Miami, Florida",570709.380137604,2843524.9212347204,17,R,11911,2028
"Green River, Wyoming",627608.7897069512,4596769.664402764,12,T,11906.0,331
"Tremonton, Utah",401088.21265644813,4619227.666172215,12,T,11905.0,444
"Accokeek, Maryland",325817.89716895885,4282558.839279964,18,S,11895,167
"Cottage Grove, Oregon",495390.3198358397,4849228.118062067,10,T,11892.0,1044
"Weatherford, Oklahoma",528355.3397836635,3932797.226440928,14,S,11883.0,686
"Delavan, Wisconsin",366144.59676678467,4720808.832674668,16,T,11871.0,457
"Vineyard, Utah",435884.1086733639,4461983.113626308,12,T,11866,954
"Richfield, Wisconsin",399213.24722633103,4787903.939905201,16,T,11854,127
"Otsego, Michigan",607061.7805914512,4701395.24922442,16,T,11852.0,768
"Malvern, Arkansas",516503.5627172716,3803573.6856059344,15,S,11851.0,427
"Cadillac, Michigan",626439.1079840896,4900793.247186068,16,T,11850.0,574
"Lexington Park, Maryland",373875.2983787369,4235013.198250025,18,S,11848,813
"Healdsburg, California",511742.9806333154,4274939.374748467,10,S,11845,1024
"Lake Station, Indiana",478332.3608082995,4602390.180954225,16,T,11845,550
"Clawson, Michigan",323409.67975162365,4711609.133455947,17,T,11845,2079
"Sandy, Oregon",557197.4412297907,5027491.088496034,10,T,11843.0,1265
"Robertsville, New Jersey",559973.1780954831,4465678.726548001,18,T,11840,774
"Red Bank, Tennessee",655279.9173726243,3886758.535508944,16,S,11840,696
"Brown Deer, Wisconsin",420754.1097558151,4780632.177440077,16,T,11839,1039
"Crestwood, Missouri",728453.3806887046,4270866.329613197,15,S,11834,1273
"Grants, New Mexico",241887.42595704034,3893775.6625010744,13,S,11833.0,231
"Valley Falls, Rhode Island",301631.6875403099,4644039.269622277,19,T,11828,1292
"Berkley, Colorado",497594.5660471793,4406059.375631916,13,S,11822,1264
"Malibu, California",335266.36405683076,3767672.468837866,11,S,11820,229
"Smyrna, Delaware",447544.41956616053,4349534.862040659,18,S,11813,726
"North Wantagh, New York",626001.3716396209,4506335.847500612,18,T,11802,2394
"Dranesville, Virginia",294812.8654262402,4318947.66687715,18,S,11802,1187
"Bucyrus, Ohio",333668.53279005317,4519025.834367421,17,T,11800.0,615
"Alum Rock, California",604120.446163846,4136512.0374409477,10,S,11791,5405
"Urbana, Maryland",298195.7923199893,4355312.379265107,18,S,11788,687
"Newman, California",675353.4423907336,4131731.0675291372,10,S,11783.0,2206
"Wakefield, Virginia",305480.65605465404,4299520.214789651,18,S,11782,1205
"Walker Mill, Maryland",336378.22273815796,4304640.435493847,18,S,11780,1440
"Tomball, Texas",247562.12623477247,3332218.027621176,15,R,11778,349
"Florida City, Florida",553440.6235643085,2813975.5766720697,17,R,11771,758
"Webster, Massachusetts",262080.4272693465,4658738.220460412,19,T,11769,1529
"Wanaque, New Jersey",559672.5736462453,4543884.281401728,18,T,11762,563
"Winton, California",710944.5961448539,4140291.4783953787,10,S,11761,1493
"Arizona City, Arizona",437169.7223365509,3623837.93705021,12,S,11761,740
"Tucson Estates, Arizona",488178.3907673911,3560305.8319970137,12,S,11758,349
"Scotts Valley, California",587863.4067084605,4101485.805080963,10,S,11757,982
"Robstown, Texas",631177.7623701633,3074495.5616206066,14,R,11755.0,280
"Miller Place, New York",669511.9679912162,4533760.05891171,18,T,11755,693
"The Pinery, Colorado",520728.31527069525,4366321.4641492255,13,S,11754,437
"Georgetown, South Carolina",658559.8195425388,3692439.224223107,17,S,11754.0,486
"Salisbury, New York",621539.1680695219,4511491.38044533,18,T,11753,2600
"East Renton Highlands, Washington",568918.2908384793,5258001.085805105,10,T,11745,405
"Upper Montclair, New Jersey",567323.1224914783,4521613.458308991,18,T,11744,1819
"Nanakuli, Hawaii",588681.0083619846,2365463.9246896114,4,Q,11742,1516
"Somerset, Pennsylvania",664071.8523039562,4430081.79781763,17,T,11738.0,828
"Delhi, California",696783.1924981269,4144964.0348756593,10,S,11735,1290
"Port St. John, Florida",520810.6050949943,3150073.432647802,17,R,11729,1168
"Arlington, Tennessee",257281.90605823623,3905073.823487434,16,S,11728.0,197
"Cordele, Georgia",238246.22093065424,3538941.654090189,17,R,11719.0,400
"Forestville, Maryland",337660.5452240092,4301993.77812906,18,S,11719,1152
"Mendota, California",734099.2135614823,4070956.8583125034,10,S,11716.0,1312
"Grafton, Wisconsin",423132.572770605,4796831.977743702,16,T,11715,888
"Glen Rock, New Jersey",573642.0229035129,4534696.473944414,18,T,11707,1671
"Cocoa Beach, Florida",536522.0136703067,3134103.4298952026,17,R,11705,970
"Clute, Texas",266504.90465328586,3213193.0752891763,15,R,11690,848
"Waimea, Hawaii",224018.77500166598,2215028.6650724197,5,Q,11687,114
"Freehold, New Jersey",561608.547294523,4456822.660853286,18,T,11682,2334
"Bayou Blue, Louisiana",725265.0328486483,3280504.2601294504,15,R,11682,193
"Winfield, Kansas",681763.6507186465,4127238.6701484057,14,S,11679.0,413
"Cascades, Virginia",293393.4683646447,4324638.114058918,18,S,11670,1222
"Plano, Illinois",372695.8722143536,4614900.464652184,16,T,11665,501
"Brock Hall, Maryland",347739.634454189,4302892.776188742,18,S,11664,330
"Lewisburg, Tennessee",519084.72672507766,3922901.9816722665,16,S,11658.0,353
"El Campo, Texas",765211.2507068524,3233081.305253703,14,R,11655.0,456
"Pine Castle, Florida",463386.329456509,3148782.586411261,17,R,11643,1855
"Endwell, New York",415525.41452683916,4663438.537782161,18,T,11641,1200
"Travilah, Maryland",305678.2791698929,4325513.382911433,18,S,11633,283
"South Yarmouth, Massachusetts",400063.31683251006,4613745.0520506725,19,T,11624,645
"Pontiac, Illinois",361719.7999023678,4527631.956301869,16,T,11622.0,536
"Wyandanch, New York",637029.1924971688,4511906.026311342,18,T,11612,1005
"Franklin, Ohio",732410.3228024073,4381730.338620667,16,S,11612,488
"Largo, Maryland",341359.41251738044,4305049.762894647,18,S,11604,1463
"Cedarburg, Wisconsin",419804.4412061643,4794504.768753999,16,T,11603,926
"North Bellport, New York",673330.8030657085,4517120.598429287,18,T,11593,913
"Annapolis Neck, Maryland",370027.0517455003,4311276.37363823,18,S,11590,645
"Beachwood, Ohio",458002.5988576213,4591710.762417998,17,T,11590,850
"Seven Hills, Ohio",443667.7231972341,4581216.508881484,17,T,11590,912
"Echelon, New Jersey",500367.8581867999,4410909.133737432,18,S,11586,1599
"Chowchilla, California",745700.6463843209,4110598.3299494092,10,S,11583.0,637
"Excelsior Springs, Missouri",393138.81838030025,4355129.956407545,15,S,11581.0,418
"View Park-Windsor Hills, California",375467.2733064402,3762476.4508462986,11,S,11580,2428
"Ozark, Alabama",628530.9371974163,3480355.386752074,16,R,11562.0,161
"Silver City, New Mexico",755719.9144887482,3630020.8139159307,12,S,11561.0,358
"Newport East, Rhode Island",309094.04110872326,4598545.344175761,19,T,11561,776
"Martinsville, New Jersey",535948.3442435021,4494774.568468477,18,T,11541,366
"West Plains, Missouri",601067.5818720255,4066383.558651308,15,S,11540.0,358
"Woodland Park, Colorado",494856.3410570997,4316611.804599569,13,S,11530.0,458
"Spirit Lake, Iowa",329111.60883895593,4809354.38950685,15,T,11530.0,442
"Mount Sinai, New York",666852.1185574266,4533677.049929645,18,T,11529,742
"Bainbridge, Georgia",731988.1626757985,3421554.1281293845,16,R,11529.0,251
"Bridgeton, Missouri",723501.4596449728,4294097.031029091,15,S,11520,305
"Archdale, North Carolina",593920.8421822331,3973723.375813473,17,S,11513,507
"Waipio, Hawaii",604005.9828027228,2368333.040559275,4,Q,11508,3549
"Newport, Tennessee",301815.5818296131,3981933.126138872,17,S,11500.0,480
"Florham Park, New Jersey",551027.1256953457,4514211.597895376,18,T,11496,607
"Yeadon, Pennsylvania",478408.3672945162,4420295.985882694,18,S,11496,2783
"Wallington, New Jersey",575277.5866893879,4522878.170174266,18,T,11495,4464
"Roma, Texas",499401.66773976746,2921821.00265123,14,R,11490,756
"Bogalusa, Louisiana",225975.1898859538,3408859.6927128537,16,R,11486.0,467
"Madison Heights, Virginia",667559.8295404515,4146334.6064815614,17,S,11483,231
"Hawaiian Paradise Park, Hawaii",293431.9015139324,2166505.1950423345,5,Q,11479,291
"Lake Los Angeles, California",423544.7265154345,3830077.6958544576,11,S,11469,454
"Emmaus, Pennsylvania",457841.45736226573,4487280.966533402,18,T,11467,1529
"Londonderry, New Hampshire",307007.60591113794,4746941.718633063,19,T,11465,362
"Jackson, Ohio",357281.2815538547,4323175.380390207,17,S,11462.0,292
"Camp Pendleton South, California",464677.48068789765,3676671.8895264664,11,S,11459,1129
"Chalco, Nebraska",740276.2966559937,4562884.695432147,14,T,11456,1570
"Goulds, Florida",561473.9132069723,2827254.792862755,17,R,11453,1520
"Greentree, New Jersey",503299.7385245315,4416536.918843843,18,S,11453,950
"Webster, Texas",294669.7702934823,3268767.645428922,15,R,11451,691
"Elizabethtown, Pennsylvania",363804.2229914864,4446009.082563113,18,T,11445,1666
"Home Gardens, California",452687.39498972765,3748791.0922060283,11,S,11442,2922
"Elwood, New York",640028.1599694268,4523011.800229181,18,T,11439,923
"Port Lavaca, Texas",731932.3916016668,3167976.093954001,14,R,11436.0,450
"River Edge, New Jersey",580936.7255747606,4531076.032668749,18,T,11435,2409
"Claiborne, Louisiana",575299.2546447812,3600343.816100681,15,S,11435,443
"Woods Cross, Utah",422730.69080422574,4525074.762014549,12,T,11431,1153
"Byram, Mississippi",755856.8153316937,3564614.7032999597,15,S,11428,240
"Highland, Illinois",267047.3751910692,4293579.818490058,16,S,11425.0,566
"Lyndon, Kentucky",623430.1187902638,4236092.670134145,16,S,11423,1225
"Mack, Ohio",700547.5269040164,4336020.879948927,16,S,11422,477
"Signal Hill, California",391877.1153386949,3740915.4955472173,11,S,11421,2012
"Richmond Heights, Florida",563042.6722266962,2835379.6678396575,17,R,11410,2763
"Woodward, Oklahoma",463632.190823635,4031132.0171340182,14,S,11410.0,357
"Hailey, Idaho",718233.1947884397,4821449.091029297,11,T,11409.0,853
"Scottsburg, Indiana",605849.4367873496,4282535.437807833,16,S,11408.0,473
"Schiller Park, Illinois",427959.6969264235,4645545.050252689,16,T,11403,1589
"Fenton, Michigan",278028.84602316504,4742112.735305409,17,T,11403,661
"Los Alamitos, California",401932.6788923223,3740174.6405209275,11,S,11399,1093
"Minooka, Illinois",393152.3786759891,4589580.644975416,16,T,11397,467
"Hillsborough, California",556641.517890755,4156891.612509524,10,S,11387,710
"Collegedale, Tennessee",677957.3564809575,3880605.9269708106,16,S,11378,364
"Dent, Ohio",702147.2692628864,4340715.691948331,16,S,11378,740
"Summerfield, North Carolina",598921.6752031527,4006393.2524256315,17,S,11376,166
"Snyder, Texas",320865.1779643774,3621119.1810477693,14,S,11371.0,473
"Tarrytown, New York",595169.4516757862,4546557.427978825,18,T,11370,1500
"Fairfield, Iowa",586877.9451107268,4539948.170090896,15,T,11367.0,615
"Mount Sterling, Kentucky",241443.97603515597,4217106.7750281,17,S,11363.0,622
"Ravenna, Ohio",479688.72959723417,4556691.387595382,17,T,11361,779
"Bellmawr, New Jersey",491952.03124929895,4412944.43202816,18,S,11359,1469
"Angola, Indiana",666136.3114843065,4612095.743141374,16,T,11352.0,519
"Doctor Phillips, Florida",451806.7695411498,3146885.54414248,17,R,11347,1379
"Coshocton, Ohio",427891.7298065663,4457159.996044451,17,T,11347.0,533
"Mendota Heights, Minnesota",488943.1378822694,4969796.22180507,15,T,11343,482
"Haysville, Kansas",645484.0499320402,4158816.796260735,14,S,11338,942
"Tega Cay, South Carolina",498996.70829107217,3877368.0855197427,17,S,11335,967
"Mexico, Missouri",597530.7300550926,4335416.460617127,15,S,11330.0,366
"Evanston, Wyoming",502965.45519320114,4567642.988897893,12,T,11319.0,436
"Mountain Top, Pennsylvania",424085.5033286654,4554171.025432652,18,T,11319,290
"Port Salerno, Florida",580311.301739587,3002876.5142407985,17,R,11317,1225
"Haddonfield, New Jersey",497042.05713329074,4416159.418691539,18,S,11317,1562
"Urbana, Ohio",265259.2927246291,4443436.0718589965,17,T,11313.0,556
"Beachwood, New Jersey",568162.691749197,4420137.12472024,18,S,11312,1580
"Pennsville, New Jersey",456442.8279441419,4389123.748966756,18,S,11311,433
"Bradford, Pennsylvania",695460.6498162572,4648070.2166665085,17,T,11311.0,946
"North Vernon, Indiana",618457.4998607008,4319553.66433009,16,S,11310.0,337
"Lake Morton-Berrydale, Washington",567755.3911558135,5242504.62031987,10,T,11295,353
"Celina, Ohio",706345.5715306266,4492225.095362222,16,T,11285.0,807
"Hartsville, Tennessee",575618.4511397502,4027769.6457947167,16,S,11284,38
"Canyon Lake, California",475707.60843419255,3727649.1695597344,11,S,11280,1113
"Gardnerville Ranchos, Nevada",262117.40628806173,4307834.95097541,11,S,11274,291
"Lighthouse Point, Florida",590947.0705485954,2906846.640105134,17,R,11270,1886
"Eunice, Louisiana",555749.4108768608,3373271.076192717,15,R,11269.0,737
"Tamalpais-Homestead Valley, California",540611.2783020879,4192523.7316716597,10,S,11261,927
"Hibbing, Minnesota",503871.04850317276,5249406.339806408,15,T,11257.0,33
"Fairview Shores, Florida",461399.9642450939,3163955.5942481603,17,R,11254,1465
"Lamesa, Texas",223152.34225912753,3625582.570206965,14,S,11241.0,691
"DuBois, Pennsylvania",688347.0005509581,4554781.806696266,17,T,11241.0,895
"Berlin, New Hampshire",320301.9066954765,4928438.085509328,19,T,11237.0,63
"North Logan, Utah",432965.1857270631,4625209.513853872,12,T,11237,608
"Waupun, Wisconsin",359796.8073882384,4832413.201871927,16,T,11232.0,931
"Mango, Florida",371476.09862932435,3096948.870270206,17,R,11228,928
"Big Lake, Minnesota",441781.42617126775,5021167.52164719,15,T,11226,615
"Hillsdale, Michigan",696044.9121123004,4644330.386927654,16,T,11223.0,542
"Gloucester City, New Jersey",489980.15717629646,4415821.354973423,18,S,11219,1875
"Mitchellville, Maryland",342723.12212827173,4311217.747625215,18,S,11215,877
"Shiloh, Pennsylvania",346971.6713603226,4426342.551352304,18,S,11206,1024
"Camp Verde, Arizona",421361.7720343247,3825682.133890701,12,S,11187,100
"Viera East, Florida",527954.1757217094,3126148.1472329,17,R,11183,867
"Weddington, North Carolina",523873.96058256266,3875602.793354823,17,S,11182,246
"Show Low, Arizona",588524.3025106326,3792190.4302620455,12,S,11173.0,67
"Ridgefield, New Jersey",583076.7626371591,4520497.1109670745,18,T,11171,1695
"Aguadilla, Puerto Rico",695003.4523519753,2039661.4131252703,19,Q,11170,1721
"Poulsbo, Washington",526935.6633690133,5287654.409725487,10,T,11168,910
"Springdale, Ohio",717673.9155863562,4352096.118393987,16,S,11166,866
"Stayton, Oregon",515951.343410939,4961119.686758542,10,T,11166.0,1049
"Brookings, Oregon",392428.88296647207,4658332.926185268,10,T,11162.0,603
"Rossmoor, California",399987.9036760865,3739241.1546367584,11,S,11160,2792
"Broomall, Pennsylvania",469863.086364906,4424420.547112175,18,S,11154,1490
"Niles, Michigan",562498.1931219243,4631686.137478713,16,T,11149,742
"Coamo, Puerto Rico",779034.4958981291,2000642.0429969137,19,Q,11148,2361
"Piedmont, California",567766.9824974221,4186411.664519481,10,S,11135,2529
"Fitzgerald, Georgia",286650.41887444595,3510884.3139408883,17,R,11135.0,373
"Huntingdon, Pennsylvania",753397.8640275488,4487551.319785245,17,T,11134.0,740
"Selma, Texas",566504.2305133732,3273175.49566101,14,R,11132,853
"Satellite Beach, Florida",539077.7913785877,3117006.862166282,17,R,11130,1471
"Guttenberg, New Jersey",583960.1542845696,4516221.62318103,18,T,11121,22246
"Mayfield, Kentucky",353161.7327075748,4066958.2981238156,16,S,11121.0,518
"Franklin Lakes, New Jersey",566574.825708539,4540013.566295614,18,T,11119,456
"San Germán, Puerto Rico",706791.5050371592,2000429.9792953322,19,Q,11117,1518
"Viera West, Florida",525820.2537184315,3124149.266487724,17,R,11116,480
"Summit, Illinois",432312.7291141715,4626525.886577008,16,T,11116,2025
"Lowes Island, Virginia",296424.74996183626,4324636.831035156,18,S,11111,1421
"Yorktown, Indiana",626652.3907943432,4449129.822171606,16,T,11111,134
"Town and Country, Missouri",719440.752067753,4278922.288785138,15,S,11109,373
"Fulton, New York",385162.5396462807,4797002.94243491,18,T,11102,1122
"Durham, New Hampshire",343625.2619694531,4778300.784659401,19,T,11101,1597
"Jefferson Hills, Pennsylvania",590698.0951310039,4460791.109714468,17,T,11101,259
"Princess Anne, Maryland",438984.7365387936,4228834.483031918,18,S,11101.0,810
"Lindon, Utah",438958.33406015567,4465898.237126646,12,T,11100,512
"Maysville, Kentucky",257090.71302255956,4281123.9374760715,17,S,11093.0,177
"Campton Hills, Illinois",382587.2822586153,4645184.091769691,16,T,11091,253
"Woodbury, New York",575281.372541887,4575603.915199798,18,T,11089,120
"Rifle, Colorado",261694.68586462038,4379954.381914795,13,S,11089.0,532
"Bennettsville, South Carolina",620316.903177983,3832829.261856318,17,S,11086.0,487
"Walden, New York",567717.480911337,4601277.098873278,18,T,11085.0,1312
"Grove City, Pennsylvania",576401.0481877846,4556607.572175419,17,T,11085.0,1111
"Merriam, Kansas",353408.107505822,4320204.62671331,15,S,11081,990
"Westwood, New Jersey",581526.7829484298,4537855.040792746,18,T,11078,1893
"Lower Burrell, Pennsylvania",608828.2336308538,4493129.103557378,17,T,11078,379
"Westview, Florida",575985.5855836808,2862902.2017405485,17,R,11068,1412
"Silverton, Oregon",517267.5002990753,4983318.118121534,10,T,11068.0,1170
"Wahpeton, North Dakota",684012.6562142512,5127063.587285518,14,T,11067.0,572
"Storm Lake, Iowa",319897.69406897115,4723522.557313933,15,T,11066.0,755
"Whitehall, Michigan",553396.453417123,4805480.1131199645,16,T,11061.0,340
"Orange Cove, California",292646.6187742515,4055344.81441584,11,S,11059.0,2213
"Lake Grove, New York",658722.168812394,4524767.274855645,18,T,11056,1444
"Grosse Pointe Park, Michigan",341210.96504349366,4693703.846689149,17,T,11050,1969
"Grand Haven, Michigan",563511.4620999264,4767250.907541804,16,T,11047,745
"Two Rivers, Wisconsin",453429.4055605361,4889408.969121933,16,T,11041,705
"Gold Canyon, Arizona",459358.36515696195,3692557.9344261326,12,S,11038,190
"Holbrook, Massachusetts",334272.3814844785,4668055.699111009,19,T,11036,587
"Clinton, South Carolina",420696.5249685407,3815462.8114370094,17,S,11031.0,321
"Dobbs Ferry, New York",595034.1713847328,4540782.013401118,18,T,11027,1752
"Hormigueros, Puerto Rico",698888.8654246476,2007100.4286833329,19,Q,11009,961
"Suffern, New York",572026.8338602537,4551744.658805222,18,T,11007,2026
"Munhall, Pennsylvania",593321.1831434809,4472035.908739037,17,T,11006,1849
"Florence, Oregon",411298.3856302158,4871512.421617468,10,T,11000.0,656
"Oak Grove, South Carolina",486717.40500224347,3760047.5269428836,17,S,10993,660
"Pompton Lakes, New Jersey",560054.9444190991,4539269.0298807435,18,T,10986,1469
"Millsboro, Delaware",472846.6680067511,4271659.021458889,18,S,10985.0,299
"Kings Mountain, North Carolina",468144.25647302356,3899138.147332598,17,S,10982,315
"Sussex, Wisconsin",400515.57300819154,4776432.662669228,16,T,10981,544
"Pearsall, Texas",490366.57501459727,3195636.486726055,14,R,10973.0,690
"Ocean City, New Jersey",534341.7141843358,4346615.227500013,18,S,10971,630
"California City, California",420571.46945829876,3890890.8130681124,11,S,10968.0,26
"Gonzales, Louisiana",699875.5225040382,3344233.2333864877,15,R,10957,462
"West Point, Utah",407708.6997901802,4552882.73045179,12,T,10957,594
"Liberty Lake, Washington",492252.5859822748,5279483.831326841,11,T,10956,687
"Decatur, Indiana",674697.7457683282,4521795.835992968,16,T,10943.0,631
"Heath, Ohio",377020.5904458615,4431426.896688047,17,T,10942,393
"Destrehan, Louisiana",754028.8928850223,3317568.0069424375,15,R,10933,707
"New Albany, Ohio",347525.6998030098,4438191.026711763,17,T,10933,277
"Cusseta, Georgia",708260.9165272568,3581051.6622944525,16,S,10907,16
"Elkins, West Virginia",599342.0495482485,4308933.7892495515,17,S,10899.0,742
"Linthicum, Maryland",356461.18588700145,4341264.39340756,18,S,10895,770
"Guymon, Oklahoma",278641.5719548648,4063355.665958376,14,S,10895.0,545
"Seymour, Tennessee",249546.5286209147,3973761.2233557,17,S,10873,332
"Montgomery, Ohio",729047.2945977375,4347833.649552165,16,S,10872,790
"Forestville, Ohio",730215.7082062229,4328037.634671795,16,S,10866,1134
"Soquel, California",593589.186983192,4095145.299020193,10,S,10862,912
"Essex Junction, Vermont",649958.3941214255,4928050.539090221,18,T,10852,917
"La Riviera, California",643361.6516461896,4270155.868126719,10,S,10851,2205
"Vermillion, South Dakota",669691.0161974053,4738593.759437334,14,T,10844.0,923
"Gardere, Louisiana",679289.0966699205,3359953.373517494,15,R,10841,1260
"Pleasant View, Utah",416220.19625163847,4575308.398819129,12,T,10839,599
"Wasilla, Alaska",369072.55503189703,6829537.457568307,6,V,10838,337
"Northbrook, Ohio",708869.4551799166,4346945.780294434,16,S,10832,2166
"River Forest, Illinois",432027.54014622915,4638442.878973263,16,T,10816,1684
"Manchester, Virginia",275476.00276203814,4152283.722083143,18,S,10807,704
"Mount Kisco, New York",606634.6097817868,4561938.818653175,18,T,10795,1369
"Smithville, Missouri",364387.77561931487,4361472.71089189,15,S,10795,261
"Sierra Madre, California",403187.99749632046,3781359.7949899808,11,S,10793,1411
"Maili, Hawaii",586002.6534827683,2368128.2487502093,4,Q,10792,2426
"Totowa, New Jersey",565585.1821702641,4528380.977203706,18,T,10792,1041
"Halfway, Maryland",262218.039836792,4388838.340994427,18,S,10784,895
"Highland Park, Michigan",327376.41643614625,4696898.238035144,17,T,10775,1400
"Citrus, California",418013.40670883365,3775385.7972854786,11,S,10771,4689
"Winnemucca, Nevada",439018.69894748874,4535069.0787262125,11,T,10764.0,305
"Castle Pines, Colorado",511131.66243335477,4368110.7371503785,13,S,10763,433
"Saks, Alabama",606226.4873231105,3730791.5522193024,16,S,10763,341
"Burr Ridge, Illinois",423524.7572664781,4622261.8393434705,16,T,10758,587
"Galena Park, Texas",284027.28990511084,3292641.002945138,15,R,10757,867
"Ludington, Michigan",544656.9285890475,4867280.828207515,16,T,10752.0,931
"Elk City, Oklahoma",460664.7885991002,3915825.549400827,14,S,10746.0,274
"Bellmead, Texas",681236.885703197,3497960.8795387656,14,R,10744,604
